1st harmonic(V)503007	2nd harmonic(V)503007	Bex(Oe)503007	
-1.716550E-1	1.184230E-3	5.103257E+4
-1.716550E-1	1.184470E-3	5.097275E+4
-1.716620E-1	1.184950E-3	5.091295E+4
-1.716620E-1	1.185420E-3	5.085308E+4
-1.716550E-1	1.185660E-3	5.079325E+4
-1.716550E-1	1.185900E-3	5.073349E+4
-1.716550E-1	1.186380E-3	5.067354E+4
-1.716550E-1	1.186620E-3	5.061374E+4
-1.716470E-1	1.187090E-3	5.055387E+4
-1.716470E-1	1.187090E-3	5.049412E+4
-1.716470E-1	1.187570E-3	5.043415E+4
-1.716470E-1	1.187570E-3	5.037445E+4
-1.716470E-1	1.188050E-3	5.031454E+4
-1.716470E-1	1.188520E-3	5.025470E+4
-1.716470E-1	1.188760E-3	5.019492E+4
-1.716390E-1	1.189240E-3	5.013497E+4
-1.716390E-1	1.189480E-3	5.007525E+4
-1.716470E-1	1.189720E-3	5.001545E+4
-1.716470E-1	1.190190E-3	4.995557E+4
-1.716470E-1	1.190670E-3	4.989573E+4
-1.716470E-1	1.190910E-3	4.983599E+4
-1.716470E-1	1.191390E-3	4.977611E+4
-1.716470E-1	1.191620E-3	4.971628E+4
-1.716470E-1	1.191860E-3	4.965638E+4
-1.716470E-1	1.192580E-3	4.959658E+4
-1.716470E-1	1.192820E-3	4.953667E+4
-1.716470E-1	1.193050E-3	4.947692E+4
-1.716470E-1	1.193530E-3	4.941727E+4
-1.716470E-1	1.193770E-3	4.935729E+4
-1.716470E-1	1.194250E-3	4.929736E+4
-1.716470E-1	1.194720E-3	4.923770E+4
-1.716470E-1	1.195200E-3	4.917779E+4
-1.716470E-1	1.195440E-3	4.911789E+4
-1.716470E-1	1.195920E-3	4.905814E+4
-1.716470E-1	1.196150E-3	4.899835E+4
-1.716470E-1	1.196390E-3	4.893856E+4
-1.716470E-1	1.196630E-3	4.887868E+4
-1.716470E-1	1.196870E-3	4.881889E+4
-1.716470E-1	1.197350E-3	4.875902E+4
-1.716470E-1	1.197820E-3	4.869925E+4
-1.716550E-1	1.198060E-3	4.863943E+4
-1.716550E-1	1.198540E-3	4.857959E+4
